run,AP_50_95,AP_50,AP_75,AP_small,AP_medium,AP_large,AR_1,AR_10,AR_100,AR_small,AR_medium,AR_large
blur_medium,0.1787733799488015,0.2695654815097625,0.19354524829110242,0.0018331074178846451,0.11938484828666816,0.4378751642872344,0.16988019448884295,0.20965639884694418,0.20972369998444704,0.001729727323732436,0.1253893293225045,0.5166593077306346
blur_mild,0.19809190576881988,0.297678381266048,0.21209049008455458,0.003132109665417887,0.14692193921602573,0.4632342860166205,0.18292213049471534,0.2296148483040819,0.22967813944332238,0.0029798511351022978,0.1576636486919472,0.5433276576045342
blur_severe,0.1398550992984781,0.21429559451776276,0.14899141284444067,0.0015401540154015398,0.07825226126556345,0.3569504115771194,0.13791500678843074,0.1656838189626197,0.1656844872956634,0.0013163403901546905,0.08133542745159178,0.42599447750244007
clahe_medium,0.2030331989465525,0.3029067086647143,0.22339775187143857,0.002856270959310684,0.1643836163519725,0.46909704933763746,0.18642246846254087,0.23402752723338108,0.23414296505835805,0.00268340722548738,0.17323504819459346,0.5451614043200714
clahe_mild,0.20231221075324388,0.3052606632486663,0.222567817997625,0.002815423699232668,0.15562695762343653,0.47085612437743823,0.18664820608186522,0.23596846535356067,0.236023285371472,0.0028425395337556255,0.169239336609655,0.5585197360794287
clahe_severe,0.19787523908033558,0.2952292246717608,0.21782994854745596,0.0024678213209566344,0.1527365668390825,0.4563581411427069,0.1841239143523108,0.22950594138226546,0.22971637363577513,0.002332421747695878,0.16108146890558336,0.5375306063108134
gamma_clahe_medium,0.2011191379169059,0.30181618301752855,0.21969162868070838,0.0025488278664284178,0.15589785078262391,0.4691545324776194,0.18661117551061127,0.23271490589769184,0.23282566539136276,0.0025673742214981383,0.1646183284424775,0.5537496729182827
gamma_clahe_mild,0.2041260126713161,0.306617822751362,0.22235797609109745,0.002652237952528579,0.15656095793778102,0.4767827112819826,0.1879211142722246,0.23621060595348856,0.23621862595001322,0.002831701090159686,0.1701329771342308,0.5613521033411719
gamma_clahe_severe,0.1940669040479792,0.2926249074963245,0.20998847928001982,0.003359275965819228,0.14861989161864522,0.44719771835284483,0.18020016216783127,0.22451791143539745,0.22476988397917735,0.0033278288642096883,0.1541775536745961,0.5225436359338134
gamma_medium,0.2002054158121136,0.3001860433505353,0.21374172729842736,0.003073226326723014,0.1550896311925793,0.467125887966538,0.1865332753165203,0.2308614673549736,0.23101168887699883,0.002881797076667169,0.16189699689776477,0.5460097694248991
gamma_mild,0.2054663448763189,0.3080628597998628,0.22466130093518,0.0029355820133494756,0.15704069177900107,0.4770817742711284,0.19047211131349526,0.2363590869017878,0.23655410344606853,0.002867669191759547,0.1650614292362893,0.5527323202702105
gamma_severe,0.18323912259630276,0.27425240194480693,0.19903807041321733,0.0032503377811934396,0.13831943105715422,0.4228120630846402,0.17118632970154285,0.21101918769354489,0.21119323832645628,0.003215979334813524,0.14280641615474282,0.49045752723677116
low_light_medium,0.20081543739751448,0.29853832171719474,0.21818912985885827,0.002702111511353322,0.15680890576799564,0.4696400148561,0.18579599089843957,0.23163198571479357,0.23183773963699716,0.002569737319679835,0.1643710685040315,0.5499318784568802
low_light_mild,0.2052666543423711,0.3069775532553237,0.22095442559295814,0.0029654956990076615,0.1614255621038876,0.4757185655413241,0.1890293014024386,0.2366812746444037,0.2368481908220733,0.00288731499195691,0.16948155186044625,0.5471232361457639
low_light_severe,0.19084508048147697,0.2853932546658622,0.2074177496823277,0.0022728889675930797,0.1424977488544815,0.4528368426343401,0.17813174287469113,0.22137147063515142,0.22141093266350573,0.0021858351035350335,0.1485566389669733,0.5367281347711246
normal,0.20915254231936015,0.3138241339739294,0.22792949104655402,0.0029727664924877576,0.16415427382802272,0.47674740026349893,0.19186603910833946,0.241306052430378,0.24151267822341588,0.0029379884408143888,0.1728513050500133,0.5601361758260495
