run,TP,FP,FN,Precision,Recall,F1_score,Mean_confidence,Confidence_drop,Num_predictions
blur_medium,2679,1188,3965,0.6927851047323507,0.40322095123419627,0.5097516887070688,0.5817152817242516,0.006321712,3867
blur_mild,3166,1366,3478,0.6985878199470432,0.4765201685731487,0.5665712240515389,0.5896534115496928,-0.001616418,4532
blur_severe,1846,911,4798,0.6695683714182082,0.277844672,0.39272417827890654,0.557503132,0.030533861,2757
clahe_medium,3254,1375,3390,0.7029596025059408,0.4897652016857315,0.5773086135012863,0.5879984642110393,3.852922779346013e-05,4629
clahe_mild,3266,1402,3378,0.6996572407883462,0.49157134256472007,0.5774398868458276,0.5870091605296274,0.001027833,4668
clahe_severe,3139,1283,3505,0.7098597919493442,0.47245635159542443,0.5673233327308874,0.5880743438897765,-3.74E-05,4422
gamma_clahe_medium,3222,1416,3422,0.6946959896507116,0.48494882600842865,0.5711753235241979,0.5862844606163482,0.001752533,4638
gamma_clahe_mild,3270,1441,3374,0.6941201443430269,0.4921733895243829,0.5759577278731836,0.5851797983477359,0.002857195,4711
gamma_clahe_severe,3075,1306,3569,0.701894545,0.4628236002408188,0.5578231292517007,0.5820172589762901,0.006019734,4381
gamma_medium,3256,1391,3388,0.7006670970518614,0.4900662251655629,0.5767425383048445,0.586811769,0.001225224,4647
gamma_mild,3315,1519,3329,0.6857674803475383,0.498946418,0.577626764,0.5849048112560314,0.003132182,4834
gamma_severe,2954,1244,3690,0.7036684135302526,0.44461167971101745,0.5449179118243866,0.5835539882185347,0.004483005,4198
low_light_medium,3253,1422,3391,0.6958288770053476,0.48961468994581575,0.5747857584592279,0.5899640314273018,-0.001927038,4675
low_light_mild,3333,1505,3311,0.6889210417527905,0.5016556291390728,0.580560878,0.5869107356663823,0.001126258,4838
low_light_severe,3085,1280,3559,0.7067583046964491,0.4643287176399759,0.5604505404668907,0.588121909,-8.49E-05,4365
normal,3386,1549,3258,0.6861195542046606,0.5096327513546056,0.5848518870368771,0.5880369934388328,0,4935
