run,AP_50_95,AP_50,AP_75,AP_small,AP_medium,AP_large,AR_1,AR_10,AR_100,AR_small,AR_medium,AR_large
blur_medium,0.25609469642438837,0.3443144561979813,0.28185859315648354,0.064377263,0.2534105989909143,0.4747218118076286,0.2249826096700267,0.2950423042204071,0.2955115235493861,0.067453475,0.2818692672506105,0.5559461256223653
blur_mild,0.3121671539547999,0.41544231200917764,0.34683237121513344,0.094711325,0.3327320154387254,0.5386305267111929,0.2619603299431243,0.3557338841884873,0.35653843768753973,0.10244623702242997,0.3758590945720893,0.611206596
blur_severe,0.16255356542907082,0.22598640511921894,0.17806716066272302,0.016040199447927794,0.127575333,0.35088244184974643,0.15734800905154045,0.19038179584124218,0.1904581666512854,0.015984103282483893,0.1417729044571476,0.42862387352913756
clahe_medium,0.3180279296218864,0.4247834464022746,0.35026566710487733,0.10709834323786192,0.3354911159436133,0.5210400510266602,0.26546082963367873,0.36107269140883064,0.3624882181913313,0.11562356324961895,0.3774033592185123,0.5923740131370435
clahe_mild,0.3173093089350746,0.4266395384303835,0.35169857285861256,0.11190868192049001,0.3430398466359213,0.5239945796432156,0.26650745557218775,0.36113111958703964,0.3619504097009132,0.11876984171567154,0.38376810683521995,0.6010539142400354
clahe_severe,0.3111955135606196,0.41396765111829775,0.34634652477879246,0.10464127356146306,0.3358643573993003,0.5118769879936282,0.2613911268551032,0.3527251705614415,0.3539611211275464,0.11307338448360287,0.37355661511424165,0.5846040344090785
gamma_clahe_medium,0.31367234148890494,0.41808507,0.3471259744985615,0.1056041949140516,0.32877232523852495,0.5215612445493101,0.26272221805511603,0.3567728070953899,0.3579229725586411,0.11475014587907026,0.3660814963888008,0.5994033017217931
gamma_clahe_mild,0.3159152654059753,0.423211753,0.3497991874458865,0.11223399775719359,0.3264127047577006,0.5238902408105061,0.2649407342954097,0.35986136916590744,0.3610345364557871,0.12004002018348696,0.3659780505301672,0.5937698991653687
gamma_clahe_severe,0.29930743573864527,0.4012956132512864,0.3298551042516189,0.10353199487619058,0.3117041233642684,0.497028782,0.2506093731296277,0.3420428943205282,0.3426420350571377,0.11374049504379505,0.3456049745252525,0.5677234565167901
gamma_medium,0.3192580223919744,0.4270585367446336,0.35376167956491955,0.10854375140459253,0.32855080859332003,0.5339613504376091,0.2670118305508271,0.36221216568187775,0.36321248805565476,0.11774217466016938,0.365699983,0.6167683126061679
gamma_mild,0.32492785760602666,0.4321950446082513,0.3633416537725038,0.1127900046288247,0.34136100222109317,0.5414126082547187,0.2697460531567397,0.36936420811772197,0.371614441,0.12208549950860956,0.3863237385649663,0.615963299
gamma_severe,0.28652682043817645,0.3816386327086528,0.316690181,0.099865465,0.29032240467770787,0.4741078633104862,0.2458092557925846,0.32721391964785845,0.3279868503373063,0.10744974675525375,0.3217614786122719,0.5448253468675974
low_light_medium,0.32376852186441746,0.4291210141400513,0.35972087556553545,0.10828903706075713,0.3490088712582768,0.5378127726895467,0.26998053834294855,0.3671371640179144,0.3689243625459304,0.11792577917517261,0.39177641008718334,0.6130454289649631
low_light_mild,0.3267738825150866,0.435959709,0.3633277478718781,0.11212379457218721,0.3511332219768922,0.5401492995807972,0.2712426397105959,0.3713623335193689,0.3736026458328022,0.12097032581448826,0.3948125738013156,0.6183272812234868
low_light_severe,0.3067121429727843,0.4073557069987843,0.34104128146649365,0.10051522630203526,0.3312868627151207,0.5014227011755664,0.2598021264203035,0.3488404454883195,0.3501065051289641,0.10984284541719354,0.36502041030346405,0.574462098
normal,0.33178610803414393,0.44254762699268724,0.36894900679967924,0.11383438660135495,0.3587817575547732,0.5398104941243954,0.27322143671549776,0.37745773713908826,0.3798904052983016,0.12261602288872948,0.40316106909982957,0.6244614414919472
