run,AP_50_95,AP_50,AP_75,AP_small,AP_medium,AP_large,AR_1,AR_10,AR_100,AR_small,AR_medium,AR_large
blur_medium,0.24411631976090942,0.3943520341388252,0.25816641087248576,0.07528440389781028,0.2528405037399047,0.440393994498145,0.22954881196948546,0.3201924336513773,0.32676130381517904,0.0896708457321398,0.33483596484181455,0.5652440730509368
blur_mild,0.3216991975724523,0.5090695987415444,0.3464996263518521,0.14107663546528915,0.34718784170114825,0.5080381137824924,0.2735386869710695,0.4027760009237165,0.4132687780809899,0.1789848259496346,0.4434753916682186,0.6288836997785597
blur_severe,0.15157966825537933,0.2453363771175698,0.1622706014087537,0.019070962013874013,0.1394821491939275,0.3145569730888941,0.16065738347247308,0.20871077755760514,0.21066246354089777,0.01934227757548352,0.18682355187134103,0.43229605568470353
clahe_medium,0.3463320497964106,0.5430005477007253,0.3726107570241111,0.18096187738215072,0.37741786205560257,0.5173052137856023,0.2952466948143553,0.4240880005594649,0.43587026024601755,0.22706937395095442,0.4632415221634606,0.6240321966575335
clahe_mild,0.3536422229382535,0.5563596940455079,0.38022229512620875,0.1948102799371641,0.38659077082660304,0.5162799852787802,0.2960362828517501,0.43224021727667133,0.4458061933114895,0.24529877548677834,0.47417271702576536,0.6251765482087406
clahe_severe,0.32674544242187153,0.5108449170561374,0.357971481897825,0.15959747004233069,0.3587151818930597,0.4930482370406653,0.2809911049102935,0.402345645658673,0.4115664425822067,0.20370787447206548,0.4380416608507823,0.5944679656177925
gamma_clahe_medium,0.3443184063850978,0.5457646091161904,0.37203669891209085,0.18621621357488746,0.3797724310998976,0.5126326324872421,0.2932179449653134,0.42720488105982374,0.43936917729086694,0.23622286998749079,0.4697150844109094,0.621518118802204
gamma_clahe_mild,0.35244344260666843,0.5509271417218624,0.38430250839373625,0.19529422465240645,0.3819789431780007,0.5170481232219923,0.2942895171261642,0.4313035550692787,0.4445618770519152,0.24391279718018077,0.4757396960435893,0.6239163700047715
gamma_clahe_severe,0.3228571292090166,0.5070569709152459,0.34855851130519233,0.1702177964821938,0.3543451280454813,0.4837586492491824,0.2787885142176735,0.40124091066763407,0.41102564982029516,0.2145927667803897,0.4316406372516475,0.5895091262261946
gamma_medium,0.34210525547791676,0.5366390753045125,0.36595630903896526,0.17395955519876063,0.367389785739265,0.5052361289627062,0.2867005874106374,0.4202521548657846,0.4333603065575822,0.22072647001013368,0.45073937716767054,0.6164548742451127
gamma_mild,0.361737624434497,0.5653756071741095,0.3916619779181587,0.19756354918530147,0.39487304162746006,0.5256749136889759,0.2997714608303997,0.44111033710893693,0.4541899585586998,0.2484486682509646,0.4818359723992922,0.6345696370746386
gamma_severe,0.3001265947192612,0.47201217068322665,0.3258571947349483,0.1493284807015088,0.333850090216609,0.4539115423393324,0.2628859344020407,0.37694584497572914,0.3859138106915377,0.18462831138365943,0.4043015050826379,0.5618246975517983
low_light_medium,0.3507409971492467,0.5459201680261746,0.3818358593088578,0.1830419100535745,0.3837282534410159,0.5149838861888559,0.29253907914943705,0.4316679362681066,0.4431391973417917,0.2371113476438812,0.4695040015895771,0.6250136348836431
low_light_mild,0.3617937034399877,0.5675537584825181,0.3911360871586521,0.20204350087411516,0.3938262427165274,0.5236298898787501,0.296935942511787,0.4405223269853554,0.4535637165929583,0.25071770333110693,0.48351099241971657,0.6272681534854114
low_light_severe,0.32239468761257467,0.5060288693546893,0.3463199494491879,0.15313762362330535,0.35008319658597115,0.4886763712398015,0.27592147871970435,0.39158484722441406,0.40197600722915533,0.18932683293208113,0.4224619788733586,0.5877792109846341
normal,0.37211477374648905,0.577276906388227,0.40762987105412635,0.21085037326396905,0.3977605961903099,0.5408237603318603,0.3073970880234287,0.45587952846625157,0.4709426344965871,0.2706642318031426,0.5042475057964412,0.6537299944046204
